collection;number;title
red;1;Господь, открой небес врата
red;2;Любви великой чудо
red;3;Осанна, честь и слава
red;4;Возведите все взоры на небо
red;5;Всей душой Тебя мы жаждем
red;6;Всем, кто в мире слезы льет
red;7;Возрадуйся, христианин!
red;8;У двери сердца твоего
red;9;Осанна Сыну Давида
red;10;О Иисус Спаситель, надежда всех людей
red;11;Омойте безотложно вы верою сердца
red;12;Слава Господу Отцу!
red;13;Ликуйте ныне, братья
red;14;О, приди, народов Спас
red;15;Мы ожидаем Царства дня
red;16;Врата, откройтесь! Час настал
red;17;Тебя, Христе, Тебя я вновь увижу!
red;18;Спаситель! Церковь ждет Твоя лишь Твоего явленья
red;19;О душа, воспрянь от сна
red;20;Кто там вдали идет?
red;21;Свечу в тиши ночной зажжем
red;22;Что за Дитя
red;23;О Рождестве благую весть
red;24;Богатства, власти не ищу
red;25;В бедной пещере средь темных скал
red;26;Рождественская музыка в ночи
red;27;Слава, слава Богу в вышних
red;28;Ныне все ангелы в небе ликуют
red;29;Ярко сияла волхвам ты с востока
red;30;Бог дал народам радость
red;31;Ликуй, ликуй и радуйся
red;32;От рождения Вселенной
red;33;Хвала Тебе, Христос, наш Спас
red;34;К пастырям ночью голос прозвучал
red;35;Ангела голос прозвучал
red;36;Тихий, тихий колокольный слышен звон
red;37;Когда поля под снегами дремлют
red;38;Когда встречаем Рождество
red;39;Ангел благую весть принес
red;40;Эта ночь святая
red;41;Песня Ангелов слышна
red;42;Вот пришло к нам Рождество
red;43;Хор ангелов запел с небес
red;44;Мир так прекрасен
red;45;Тихая ночь, дивная ночь
red;46;Придите к Младенцу, верные, с весельем!
red;47;О, пречудное! О, блаженное, благодатное Рождество!
red;48;С небес сошел я, чтоб принесть
red;49;Христов народ, хвали Творца
red;50;Сегодня славят все Творца
red;51;Стерегших стадо пастухов…
red;52;О, малый город Вифлеем
red;53;У яслей я Твоих стою
red;54;Во тьму веков та ночь уж отступила
red;55;Святая, радостная песнь
red;56;Царь мира родился не в царских дворах
red;57;Весть несется над землей
red;58;Радуйся, мир! Господь гряд
red;59;Как светел Твой предвечный лик
red;60;Великий Бог, рукой Своей…
red;61;О Иисусе Милосердный
red;62;Хвала Тебе да будет
red;63;О Слово вечное, Господь, всего начало
red;64;О утра яркая звезда!
red;65;Христос, Твое распятье
red;66;Господь, за нас страдающий
red;67;К Тебе взываем, Господи
red;68;Взойдем на холм
red;69;О Иисус, в Твоей крови залог спасенья и любви
red;70;Есть холм высокий
red;71;О Агнец Божий, что за преступленье
red;72;О Христос, Господь любимый
red;73;Лейтесь, слезы сокрушенья
red;74;О, кровью обагренный
red;75;Когда я поднимаю взор
red;76;Невинный Агнец вот идет
red;77;В Гефсиманский сад пойди
red;78;Честь Тебе, Иисус распятый
red;79;Невинный Агнец Божий
red;80;О Иисус, Твое в чем преступленье
red;81;О, как прискорбны, горьки нам
red;82;Есть далеко в чужой стране
red;83;О Иисус, источник благ
red;84;Ныне наш Господь воскрес!
red;85;Хотим возрадоваться мы
red;86;Я знаю: жив Спаситель мой
red;87;Ангел, с неба снизойдя
red;88;Христос воскрес, наш дивный Бог!
red;89;О, воскресенья утро
red;90;Придите, люди верные
red;91;День счастливый, день желанный
red;92;Душа моя, ликуй и пой
red;93;Ликуйте, пойте, все сердца
red;94;Христос, Спаситель наш, воскрес!
red;95;Христос воскрес! Христос воскрес!
red;96;Пусть знают все, что в этот час
red;97;Христос на смерть Себя отдал
red;98;Иисус Христос Спаситель, смертью смерть превозмог
red;99;Днесь воскрес Спаситель
red;100;Ныне день настал великий
red;101;Surrexit Dominus vere
red;102;Аллилуйя! Аллилуйя! Пойте сердцем и душой!
red;103;Горит зарею свод небес!
red;104;Хвала Тебе, Иисус Христос
red;105;Великий праздник наступил
red;106;Ты, Господь, мне жизни свет
red;107;Жив Христос, а с Ним и я
red;108;То зерно, что в землю, словно в смерть, ушло
red;109;Что стоите в изумленье?
red;110;Соединим хваленья песнь
red;111;На воскресение Христа мое всё упованье
red;112;Лишь Дух Святой влечет сердца
red;113;Дух Святой, Дух благодати
red;114;Приди, Святой Дух, утешитель
red;115;Дух Святой, небесный свет в сердце грешное излей
red;116;Повей, Дух Божий, вновь
red;117;О Дух Святой, мы молим Тебя
red;118;О Сотворитель Дух, приди
red;119;Духом Твоим, о Господь мой
red;120;Предвечный Дух, приди!
red;121;Боже, открой мои глаза
red;122;Господь великий, Свет живой
red;123;О Пресвятая Троица
red;124;Восхвалим мы Творца
red;125;Восхвалим мы Творца
red;126;Всех благ источник, чтим Тебя
red;127;Свят! Свят! Свят Ты!
red;128;Да будет Богу в вышних честь
red;129;Приди, о Боже, к нам
red;130;Господь, мы здесь с Тобой
red;131;За всех святых, что к Богу отошли
red;132;«Пробуждайтесь!» - раздается глас
red;133;Пришла пора, настал черед
red;134;Ах, не имеет Царство Божье
red;135;Жду грядущей жизни
red;136;Я сердцем в небе обитаю
red;137;Как ничтожна, мимолетна наша жизнь земная
red;138;О, день желанный, день блаженный
red;139;С миром и радостью к Тебе, о Боже, отхожу
red;140;Освяти Ты наш исход и наш вход
red;141;На небесах, лишь в небесах
red;142;У Иордана слышен глас
red;143;Итак, крещен в Твое я имя
red;144;Мы дитя свое несем ко Спасителю Христу
red;145;Чудесный океан спасенья
red;146;Кто нам всего дороже
red;147;С Христом соединились
red;148;Водой Йордана был крещен
red;149;Господи, Хлеб Всеблагой
red;150;Хлеб чудный ангельский
red;151;Все соберитесь, дабы нам вкусить
red;152;Господь нам Слово ниспослал
red;153;Святою вечерей Бог укрепил в вере
red;154;Хлеб жизни преломи, Спаситель, нам
red;155;Придите все на пир!
red;156;Христос, наш Всеблагой Господь
red;157;Боже Всемогущий, славлю я Тебя
red;158;О Господь наш и Спаситель
red;159;Хлеб небесный дал Господь
red;160;В день, когда ушло блаженство
red;161;Тело Господне примем мы сейчас
red;162;О, приди ко мне, Спаситель
red;163;Свет Невечерний
red;164;Пусть умолкнут страсти земные
red;165;Войди ко мне, о Господи
red;166;Любовью Божественной к людям горя
red;167;Смерть потерпевший на кресте
red;168;Ты, Иисус, Себя на жертву предал
red;169;В благодарности мы славим
red;170;О душа, Христом согрета
red;171;О, где найти покров от горечи грехов?
red;172;Спаситель мира, наш Господ
red;173;Один лишь Ты меня, Спаситель, знаешь
red;174;Во прахе здесь простертый пред Тобою
red;175;Ты, за нас принявший муки
red;176;Мои все прегрешенья несу к ногам Христа
red;177;Как тяжелы мои грехи
red;178;Будь милосерд ко мне, Христос!
red;179;Помилуй меня, Боже
red;180;Создал Бог человека
red;181;Боже, предстали по воле Твоей
red;182;На браке в Кане гостем был
red;183;Блажен тот дом
red;184;Господь вас Сам соединил
red;185;Крепок союз, что нас в любви Христа связал
red;186;Здесь двое пред Твоим лицом
red;187;В храме быть Твоем люблю!
red;188;Господь Иисус, пребудь средь нас
red;189;Мой Господь, в Твоем я храме
red;190;О, день воскресный радостный!
red;191;Пребудь средь нас, Господь Иисус
red;192;Бог на этом месте
red;193;Боже наш, Христе, мы здесь
red;194;Господь! Душа внимать готова
red;195;О Иисус, Спаситель наш
red;196;Звонко в храме колокол звонит
red;197;О Боже милосердный, Ты нас благослови
red;198;Ты позволил снова нам услышать Слово
red;199;О наш Спаситель, вновь Тебе поем
red;200;О, приди же ко мне, Иисус
red;201;Ночь землю покрывает
red;202;Отче Небесный, ночь прошла
red;203;Неба и земли Создатель
red;204;Землю укрывает вновь ночная мгла
red;205;С тихой утренней зарею
red;206;Покинувши сна ложе
red;207;Я устал – пошли покой
red;208;Ярким румянцем горят небеса
red;209;Пребудь со мной! Уж свет сменился мглой
red;210;О дух мой, окрылись
red;211;Ночь наступила, полна тишиною
red;212;Ночь, тихою стопою к земле сойдя
red;213;О Иисус, настала ночь!
red;214;Утро каждое милость вновь
red;215;Вечер окутал землю вновь
red;216;Зачем робеть и унывать
red;217;Даровано, Господь, Тобой спасительное Слово
red;218;Словом Твоим сильным
red;219;Открой сердца Ты чад Своих
